Model,Micro Precision,Micro Recall,Micro F1,Macro Precision,Macro Recall,Macro F1,Hamming Loss
Baseline,0.7183663242295164,0.19215817694369974,0.30320977209031785,0.17838463884544123,0.09094212774668092,0.09659600140658123,0.052052142998222396
Negation-Aware,0.7482244812700181,0.1800603217158177,0.2902676859079982,0.148860192940326,0.07240662017065755,0.09058279442200463,0.05189610902626901
Section-Aware,0.726334242306194,0.12496648793565683,0.21324412420655345,0.1184186458250685,0.0476622135858599,0.05951718791157589,0.054347224965435516
